10年間	0000802100-005
gridlock	0001162107
childish	0000145100	0000145103
child	0000143100	0000143103
knock sth down	0000269105
cool sth down	0000206105
cut down on sth	0000239106
cut sth down	0000239106	0000269107
jurisdiction	0000202107
distinction	0000291105	0001213108
indistinct	0001210107
idiotic	0000223111
ridiculous	0000960100	0000960104
introduction	0000082105	0000608100	0000707208	0000608103
conditions	0001026106
condition	0000185100	0000309107	0000513104	0001067104	0000185103
discussion	0000308100	0000943109	0000308103
distinct	0000699105	0000788110
indict	0000006106
productivity	0000775105
district	0000049108	0000218105
ludicrous	0000960107
lucid	0000157211
commodity	0000855105	0001142109
production	0000775104	0000801105	0000856100	0000856103
introductory	0000434110
discount	0000305100	0000305103
corridor	0000211100	0000211103
discuss	0000376107	0001118104
knock down	0000269105
dock	0000305111
cool down	0000206105
cold	0000164100	0000164200	0000164204	0000164104
scold	0000985100	0000985103
cloudy	0000162100	0000162103
cut down on 	0000239106
cut down	0000239106	0000269107
product	0000855100	0000953107	0000855103
crowd	0000231100	0000499206	0000231103
of the essence	0000366111
preference	0000146205	0001121105
reference	0000354105	0000909100	0000909103
the executive	0000493109
inexperience	0000545105
experience	0000370106	0000421106	0000512305	0000637104	0000661304
ineffective	0000572100	0000572103
effective	0001091104
self-respecting	0000868105
inference	0000184108
fleece	0000260106
self-respect	0000294108
intelligence	0000579109	0000595100	0000595103
energetic	0000356100	0000356103
emergency	0000227105
comprehensive	0000282104
speechless	0001022104
competitiveness	0000177207
in one piece	0000976106
clientele	0000700106
excitement	0000383100	0000383103
persistence	0000283104
screenwriter	0001254112
existence	0000661104	0000661308
perspective	0000067105
perceptive	0001014104
respective	0000788109
perceive	0000746108
exercise	0000060106	0000860107	0001057104	0001163204	0001203106	0001204104
receive	0000482204	0000497108	0000512306	0000657108
excessive	0000380100	0000380103
executive	0000386100	0000694105	0000386103
excellent	0000378100	0000378103
presence	0000137107
sequence	0000999104
screen test	0000606207
essence	0000732105
screw your eyes up	0001149107
screw eyes up	0001149107
persecute	0001101105
execute	0000632105
put sth into effect	0000044106
inefficient	0000572104
efficient	0000340100	0000340103
put into effect	0000044106
offence	0000225204
effect	0000007108	0000338100	0000338103
cheerful	0000142100	0000142103
imperfection	0000258109
influence	0000021106	0000338105	0000576100	0000577100	0000577103	0000576103
reflection	0000195107
fierce	0000598105
respectful	0000823106
perfectly	0000882209
reflect	0000194107
enforce	0000044105
perfect	0000179109	0000378105	0000543104	0000800100	0000800103
shopping centre	0000700205
give in your notice	0000653308
give in notice	0000653308
recognize	0000015105	0000048105
genetic	0000731104
neglect	0000402105	0000547108	0000653409
converge	0000167109
incomprehension	0000545107
the competition	0000355108
comprehension	0001186107
incoherent	0000541112
technique	0001027206	0001231205
cheeky	0000969105
scheme	0000196104	0000813106	0000819105
coherent	0000894104
cheer up	0000351104
speech	0001052100	0001052103
cheer	0000351105	0001012107
cheery	0000142105
reminisce	0000930109
competitive	0000024205	0000138105
imprecise	0001210108
inconvenient	0001255207
incentive	0000561100	0000561103
rejection	0000912105
intellect	0000595106
merciless	0000974109
selection	0000146104	0000146206	0000888108
election	0000146106	0000342100	0000342103
license	0000029109
silence	0001021100	0001021103
priceless	0001211105
reclusive	0001043105
exclusive	0000777108
committee	0000170100	0000170103
prominence	0000407105
incompetent	0000564100	0000679205	0000564103
economize	0000980205
specimen	0000377106
convenient	0000491207	0001206104
incense	0000034112
perception	0000074107
repercussion	0000953109
persecution	0000939106
reception	0000370207	0000505205
recession	0000901100	0000901104
sincere	0000256104	0000530110
insecure	0001016104
reticent	0000881305
necessity	0000735105
prospective	0000664107	0000741111
piece	0000056105	0000094104	0000344108	0000810100	0001245205	0000810103
picturesque	0000084211
precise	0000374104	0001216106
receipts	0000957107
service	0000398104	0000517107	0000571106	0001001100	0001001103
recite	0000883107
excite	0001076107
reject	0000913104	0000916100	0000916103
reckless	0000902100	0000902103
nervous wreck	0000221106
completely	0000882204
clueless	0000546108
unwelcome	0001200105
complete	0000179100	0000431105	0001236107	0000179103
welcome	0000497105	0000657106
closeness	0000465110
lecturer	0000654100	0000654103
lecture	0000985104	0001052104	0001123105
clever	0000596105
select	0000147104
elect	0000045104	0000252107
contentment	0000978106
competent	0000491407
overcome	0000257106
come over	0000993110
compete	0000176100	0000176103
ecosystem	0000732207
consequent	0000918107
encounter	0000512311	0000706205	0000707205
convene	0000512408	0000706110
screen	0000836107	0001136108
censure	0000097108	0000230108
scenery	0000217208
recent	0000900100	0000900103
centre	0000772104
scene	0000811109	0001219205
prosecute	0000006105
resource	0000398106	0001097104
recover	0000905100	0000905103
respect	0000014105	0000445311	0000947100	0000948100	0000947103	0000948104
creepy	0000467113
expect	0000268105	0000389100	0001099108	0000389103
recess	0000528109
secret	0000990100	0000990103
rescue	0000980104
secure	0000062108	0000433104	0000476105	0000866110	0000976112
erect	0000110106
excess	0000379100	0000379103
excuse	0000452106	0000898107
off-the-cuff	0001056106
insufficient	0000560104
office	0001001105
officer	0000757104	0000822104
forceful	0000024208	0000205108
scuffle	0000423107	0000424110
chief	0000649108	0000689108	0001156105
infection	0000309106
proficient	0000491412
terrific	0000496107
pick yourself up	0001062109
confines	0000665209
in force	0000009104
specify	0000668105
certify	0000048110	0000188206
rectify	0000210108
workforce	0001059105
confer	0000485106	0001118109
confess	0000015107
cover for 	0000934107
force	0000052104	0000202112	0000338107	0000449100	0000450100	0000576104	0000845205	0000875105	0000449103	0000450103
come through sth	0001106109
come through	0001106109
come through 	0001106109
hygienic	0000155106
come to light	0001176106
come to nothing	0000402211
ethnic group	0000799108
sickening	0000311206
ceiling	0000665109
recognition	0000014107
piercing	0000522308
exciting	0000384100	0000384104
reckoning	0000368107
compelling	0000205105	0000602106	0001202106
counselling	0000019104
welcoming	0000464106
contingent	0000052106	0000791206
congestion	0001162104
insurgency	0000958110
consumer group	0000588108
cogent	0000205109
urgency	0000554105
cherish	0000046107
think twice	0000520107
homesick	0000674107
the sick	0000794107
come into sth	0000358105
enrich	0000559107
christen	0000117113
synthetic	0000057104
ethnic	0000235105
euphoric	0000382106
heroic	0000104105
riches	0000721307
ethics	0000851104
ethic	0001214110
choke	0000215105
sketch	0000325105	0000809109	0000815107	0001095106
clothes	0000161100	0000161103
come upon sth	0000429209
pretty much	0000030110
stench	0000753105
echo	0000933104
courthouse	0000220108
choose	0000147100	0000252104	0000147103
epoch	0000802111
prophecy	0000390108
chore	0001120110
perch	0001025107
stretch	0000388109
chew	0000095104
pessimistic	0000737109
instinctive	0000731106
incisive	0001014106
injustice	0000573104
principle	0000851100	0000851200	0001139104	0000851203	0000851103
explicit	0000157204
commissioner	0000757108
competition	0000177100	0000177200	0000177203	0000177103
inconsistent	0000565100	0001215106	0000565103
inspection	0000587100	0000587103
prescription	0000329205
pernicious	0000509110
restriction	0000665104
criterion	0000228100	0000228103
invoice	0000092105	0000135108
instructive	0000580105
citizen	0000149100	0000944104	0000149103
scriptwriter	0001254110
critique	0000059108
projection	0000390106
justice	0000629100	0000629103
stockpile	0000630108	0001097112
tickle	0000540210
quicken	0000003107
snicker	0000644108
sicken	0001010110
sickness	0000309112	0000549104
compliment	0000835112
compulsive	0000011105
close in	0000167108
client	0000238104
police	0000915107
recoil	0000520109
velocity	0001053104
clique	0000499209
slice	0000239205	0000810106
commitment	0000861104	0000950110
compromise	0000181100	0000241107	0000181103
income	0000563100	0000957104	0000563103
come in	0000055108	0000358105
come into 	0000358105
competitor	0000355104	0000787107
crime	0000225100	0000225200	0000225103	0000225203
nice	0000742100	0000742200	0000742103	0000742204
contention	0000250111
convention	0000201106	0000707109	0001160106
innocent	0000585100	0000727105	0000585103
connoisseur	0000395109
conversion	0000132207
consistent	0001071107
continue	0000199100	0000199200	0000199300	0000927107	0000199203	0000199303	0000199103
connive	0000819107
prosecution	0000126111
protection	0000991104
conspire	0000819104
supersonic	0000413108
inspector	0000588100	0000588103
province	0000218106
excursion	0001169107
section	0000344110
constitute	0000938104
notice	0000066105	0000746100	0001019206	0000746103
novice	0000087104
inspect	0000141106
precious	0000249105	0001211104
society	0000345104	0001193106
voice	0000981207
price	0000849100	0000849103
picture	0000275104	0000542110	0000552108	0000809100	0000809103
pricey	0000392106
recruit	0000349105	0000906100	0000906103
security	0000991100	0000991103
cite	0000006108	0000709106	0000883104
vice	0000225107	0000372108
project	0000060104	0000837107	0000860100	0000860103
clerk	0000977108
mockery	0000197106
reckon	0000369106	0000914111	0001143107
co-worker	0000790109
pocket	0000471108	0000691209
restock	0000426110
rocket	0001037107
speck	0000094109	0000698107
wreck	0000005106	0000222109	0000928108	0000970107
counsellor	0000020105
colourless	0000157306
compel	0000450106
complex	0000180100	0000749109	0000180103
counsel	0000647106
convulse	0001002308
nucleus	0000820108
Velcro	0000114211
close	0000159100	0000160100	0000282107	0000352104	0000353108	0000663105	0000160104	0000159103
scruple	0000321209
cluster	0000499105
clutter	0000710104
cruel	0000233100	0000233103
ulcer	0001174104
clue	0001094104
comment	0000169100	0001068104	0000169103
component	0000344104
come on	0000285110
come out on top	0001239108
come on to 	0000438105
come upon 	0000429209
contempt	0000197100	0000197103
consumer	0000238105
consume	0000333106	0001204205
come	0000055104	0000085107	0000167100	0000167200	0000489206	0000167203	0000167103
outcome	0000953105
come out	0000042110	0001176105
compute	0000116105
come up	0000506107
customer	0000238100	0000238103
costume	0000161107
spectrum	0000888205
pronounce	0000253108
consent	0000025107	0000804104
content	0000507106	0000711104
controversy	0000250106
conquer	0000609109	0001090109
corner	0000209100	0000710208	0000209103
trounce	0000257110
recount	0000274107
convert	0000808111	0001110105	0001175205
uncover	0000955106
contest	0000176108	0000177104	0000177205	0000322107
context	0000198100	0000198103
convey	0000203100	0000203103
current	0000900104
century	0000802104
scent	0001034104
courteous	0000823107
prospects	0000830104
prospect	0000542108	0000828108
procure	0000476108
process	0001231207
protect	0000866100	0000866103
scope	0000888204
core	0000820104
escort	0001115205
sector	0000049204
courtesy	0000947105
source	0001049100	0001049103
course	0000152104	0001231309
cover	0000274111	0000489211	0000521105	0000562105	0000935110	0000991106	0001006106
suspect	0001099106	0001107100	0001108204	0001107103
structure	0000339107	0001085100	0001085103
crest	0000673111
screw	0000260108
cure	0000210110	0000236100	0000329207	0001166110	0000236103
curve	0000237100	0000237103
crew	0001125104
sec	0000714109
cute	0000084109	0001109104
cue	0001020105
switch sth off	0001177104
knock sth off sth	0000305107
cross sth off sth	0000262110
switch off	0001177104
knock sth off 	0000305107
knock off sth	0000305107	0001078111
knock sth off	0000305107
cross sth off	0000262110
cross sth off 	0000262110
cross off sth	0000262110
cut sth off	0000098207	0000618104
kick off	0001066106
kick-off	0001065110
knock off 	0000305107	0001078111
knock off	0000305107	0001078111
cross off 	0000262110
cross off	0000262110
cut off	0000098207	0000618104
scuff	0000986106
flick through sth	0000895104
flick through 	0000895104
forthcoming	0000741109
confusing	0000192100	0000192103
vouch for sth	0000188209
horrific	0001133308
stick up for sth	0000396208
cut out for sth	0000491210
vouch for 	0000188209
fictitious	0000422106
prolific	0000857106
fiction	0000660105
futuristic	0000394106
stick up for 	0000396208
conformist	0000193106
confirm	0000048104	0000188100	0000188200	0000188300	0000188203	0000188303	0000188103
confusion	0000321106
function	0000370206	0001246204
out of luck	0001191106
comfort	0000925104
comfy	0000168107
cut out for 	0000491210
focus	0000444100	0000444103
chilling	0000467109
shocking	0000776104
schooling	0000336110
clothing	0000161104
glitch	0000258108
chronology	0000999110
cough	0000215100	0000215103
logistics	0000814109
cling	0000525105
closing	0000642105
logic	0000672100	0000672103
consuming	0000011107
coming	0000054105	0000741107
upcoming	0000741110
costing	0001212107
stick with sth	0000199211
chip in sth	0000485306
churlish	0000969111
switch sth on	0001178104
churn sth out	0000696106
hunch	0000542206
stick with 	0000199211
chip in 	0000485306
chip in	0000485306	0000604108
historic	0000409104
tuck into sth	0000333113
pick sth up	0000115109	0000482107	0000652109
thick	0001087105	0001237204
chill	0000164107	0000206104
chill out	0000951109
chilly	0000164106
schism	0000318207
switch on	0001178104
cushion	0000331108
courtship	0000920207
chip	0000456107
pitch	0000444110	0001146110
rich	0000244204	0000256205	0000857107	0000959100	0000959103
switch	0000114104	0000132209	0000934204	0001110100	0001110103
itch	0000540209
twitch	0001002306	0001008105
itchy	0000780110
chunk	0000810110
shock	0000754105	0001009100	0001010100	0001009104	0001010104
munch	0000095105
too much	0001181105
count on sth	0001172107
churn out	0000696106
punch	0000524204
photocopy	0000207106	0000208105
cross sth out	0000262106
chop	0000239204
choppy	0000968109
touch	0000557106	0001157100	0001157103
touchy	0000998304
cut sth up	0000317106
crush	0000231108	0000306207	0000683109	0001101107
cushy	0000332110
illicit	0000548107
civility	0000947110
optimistic	0000769100	0000769103
collision	0000005105	0000189106
solicitor	0000647105
civil	0000730105	0000823104
mimic	0000445407
commission	0000045109	0000170105	0001004106	0001120112
composition	0001085106	0001245207
victim	0000794105
constitution	0000513108	0000646105
instruction	0000336108
incursion	0000063110
instinct	0000542204	0000591100	0000591103
suspicion	0000321204	0000542208	0000983105
ironic	0000614100	0000614104
victorious	0001091106
suspicious	0001108100	0001108200	0001108103	0001108203
vicious	0000233106
crisis	0000227100	0000227104
kick	0000383109
prickly	0000998305
sickly	0001017110
nick	0001072108
tuck into 	0000333113
tuck in	0000333113
pick	0000146107	0000146207	0000147105
pick up	0000115109	0000482107	0000559205	0000652109	0001062109
quick	0000413105	0000880100	0000880103
trick	0000140108	0001168100	0001168103
tricky	0000998204
sick	0001017100	0001017200	0001017103	0001017203
stick	0000062107	0000875107	0000876111
collusion	0000196107
compulsion	0000280112	0000845207
columnist	0000937107
convulsion	0001008109
policy	0000504105	0000813105
culprit	0000226105
commit	0000287105	0000319109	0000862107
consortium	0000499306
continuous	0000200100	0000462110	0000200103
corruption	0000213100	0000213103
instruct	0000771105	0001163109
scrutiny	0000943106
cut in	0000604107
topic	0001089105
curious	0001080106
victory	0001218100	0001218103
crisp	0000164110
spicy	0001084204
strict	0001083100	0001083104
tic	0001008110
city	0000150100	0000150103
icy	0000461104
knock	0000078204	0000524104	0000635100	0000635103
unlucky	0001191104
lock	0000159105
lock up	0000620107
luck	0000686100	0000686103
lucky	0001151104
mock	0000645104
mock-up	0000207210
crook	0000226108
stock up	0000630106
rock	0001002210	0001010108
sock	0000524212
stock	0000362105	0000995209	0001097105
suck	0000327105
commonly	0001209107
column	0000056106
compulsory	0000734104
comply	0000445304
clump	0000499108
control	0000114105	0000202100	0000665105	0000763105	0000973205	0001101204	0000202103
colony	0001134104
unscrupulous	0000212105
consult	0000058107	0001118108
cool	0000118105	0000164105	0000164207	0000206100	0000496104	0000782111	0000206103
colours	0000673109
colour	0000021112	0000325106	0000443107	0000781105
scrupulous	0000491508
costly	0000392104
uncommon	0000890104
common	0000171100	0000479104	0000745106	0000171103
courtroom	0000220105
customs	0001122105
custom	0001160105
count on 	0001172107
con	0000140109	0000457207
contour	0001003111
tycoon	0000386108
scorn	0000197104
country	0000217100	0000217200	0000217203	0000217103
crony	0000463112
count	0000216100	0000368104	0000914110	0000216103
county	0000218100	0000218103
co-opt	0000045108
cross out	0000262106
cop	0000822107
crop up	0000506111
corrupt	0000212100	0000212103
corps	0001125108
coup	0000958104
copy	0000207100	0000207200	0000208100	0000445408	0001253108	0000208103	0000207203	0000207103
cross	0000035107
court	0000220100	0000492106	0000220103
cry out	0000987104
costs	0000214100	0000214103
cost	0000849104
scout	0000677208
cosy	0000168104
coy	0001016106
PC	0000822109
cut up	0000317106
cup	0000072110
WPC	0000822109
crux	0000820107
cry	0000234100	0001012105	0000234103
cut	0000239100	0000239200	0000262105	0000458105	0000583105	0000908104	0001004109	0000239103	0000239203
disordered	0001198107
middle ground	0000181106
dividend	0000858106
muddled	0000191110
deed	0000008109	0000320107
the middle of the night	0000743106
get undressed	0001117107
get dressed	0001232106
disinterested	0000748106
independent	0000187104
well dressed	0000343108
extended	0000675108
depressed	0000273100	0000273103
deserted	0000277100	0000277103
ill-defined	0001210109
well founded	0000491308
defend	0000396206	0000866104
delighted	0000487107
depend upon sth	0000272100	0001172104
depend on sth	0000272100	0001172104
disoriented	0000191111
open-minded	0001154107
unintended	0001183104
intended	0000263104
one-sided	0000091108
destined	0000130107
deprived	0000825108
distressed	0001201106
depend on 	0000272100	0001172104
depend upon 	0000272100	0001172104
despondent	0000273107
undressed	0000728106
ordered	0000733105
devoted	0000685105
diffident	0001016107
dignified	0000868104
unfounded	0000615105
distinguished	0000496205
used to doing sth	0001205100
misguided	0001255108
disgruntled	0001192206
used to doing 	0001205100
the odd	0000752104
shudder	0001002208	0001002305	0001008107
dissident	0000867106
divide	0000317100	0000317200	0000618107	0001005104	0000317203	0000317103
disorderly	0001238106
worldwide	0000603105
downside	0000298107
undisputed	0001188105
disorder	0000309105	0000710106	0001170106
widowed	0001024108
disused	0000277105
muddle	0000710107
toddler	0000143110
sodden	0001234108
understudy	0000935108
dude	0000693108
hold your ground	0000945106
hold ground	0000945106
dodgy	0001108207
muddy	0000296106
drop round	0001223108
odd	0001080104
odds	0000828107
self-evident	0000157108
referendum	0000342106
preferred	0000417104
enlightened	0001154105
pedigree	0000408311
relieved	0000487109
determine	0000252105	0000284100	0000429306	0000284104
superintendent	0000695109
uninterested	0000570107
expenditure	0000214105
interested	0000601100	0000601104
development	0000286100	0000370110	0000859104	0000286103
perplexed	0000191109
deplete	0001204207
delete	0000262100	0000262103
endorsement	0000354100	0000354103
redeem	0000980106
tenderness	0000683206
under pressure	0001131106
devotee	0000410109
reserved	0000881304
fend for yourself	0001116105
indifferent	0000570100	0000570103
different	0000292100	0001199108	0000292103
offender	0000226104
frightened	0000022105
derive sth from sth	0000482206
pride yourself on sth	0000099105
derive sth from 	0000482206
derive from sth	0000482206
model yourself on sth	0000445410
indefinite	0001182107
definitive	0000427107
definite	0000130106	0000699110
petrified	0000022113
terrified	0000022107
pride yourself on 	0000099105
derive from 	0000482206
define	0000396105	0000668104
model yourself on 	0000445410
flustered	0000952106
freedom	0000460100	0000460103
defer	0000261108
edge	0000254107	0000335100	0000335103
high-powered	0000832110
high-speed	0000413106
underweight	0001141109
guideline	0000228109
privileged	0000959108
ingredient	0000344109
get involved	0000623104
depressing	0000737107
deserving	0001252107
diverge	0000290106
judgement	0001219110
knowledge	0000074104	0000637100	0000637103
legend	0001063109
pledge	0000861106	0000862106
deluge	0000439107
engrossed	0000601107
wedge	0000778108	0000810113
heed	0000515106
dispense with sth	0000931111
householder	0000944107
impoverished	0000825107
dispense with 	0000931111
delve into sth	0000610109
in the nude	0000728107
on the dole	0001189107
speed sth up	0000003104
impediment	0000750107
expedition	0001169106
delinquent	0000226109	0000548110
underline	0001081105
delve into 	0000610109
deliver	0001115105
delivery	0000266100	0000266103
diesel	0000760110
unimpressed	0000570105
detriment	0000240105
unquestioned	0001188106
uninterrupted	0000200109
superintend	0000915108
depression	0000488104	0000901105
introverted	0001043104
president	0000649106
dispense	0000315106
underwrite	0000472109
resident	0000944100	0001129106	0000944103
evident	0000157106
episode	0000370108
preside	0000648105
disrepute	0000310104
despise	0000510107
deputize	0000934108
desire	0000280100	0000683104	0001227108	0000280103
reside	0000669106
diverse	0000316100	0000316103
dexterity	0001027210
destitute	0000825110
overjoyed	0000487111
role model	0000377206
dweller	0000944106
elderly	0000761204
unemployed	0001189100	0001189103
loved one	0000245110
unresolved	0001182105
slender	0001141105
unsettled	0000952107
deplore	0000303105
develop	0000285100	0000285200	0001092106	0000285203	0000285103
explode	0000078107	0000313110
elude	0000365105
endowment	0000612109
tremendous	0000496109	0000535108
remedy	0000210107	0000329208	0001044107
need	0000280104	0000735100	0000736100	0000831104	0000898109	0000735103	0000736103
renowned	0000409109
endorse	0000903206
denote	0000703107
pretend	0000422108	0000552111	0000846100	0000846103
expend	0001204206
end-user	0000238112
tender	0000685108	0000756205
endure	0001062204
extend	0000388105	0000690106
needy	0000825106
exposed	0001225108
overdue	0000643105
devote	0000287100	0000287103
deep	0000244205	0000256100	0000256200	0000256103	0000256203
speed up	0000003104
depress	0000306205
speed	0000003105	0001053100	0001053103
speedy	0000880106
redress	0000210109
stressed	0001131105
desert	0000653406
detest	0000510110
pissed off	0000035109
differ	0000290100	0000299104	0000290103
muffled	0000881210
offend	0000754100	0000754103
fend for 	0001116105
stuffed	0000469108
get hold of sth	0000482109
delightful	0001244106
get rid of sth	0000931104
get hold of 	0000482109
girlfriend	0000790204
get rid of 	0000931104
gifted	0000491410
identify with sth	0001185205
identify with 	0001185205
friendship	0000465100	0000465104
provide for sth	0000840205
dispose of sth	0000931106
definition	0000259100	0000259103
justified	0000962207
wildlife	0000732205
identify	0000429305
field	0000049205
unfriendly	0000164206
sit yourself down	0001025104
friendly	0000464100	0000464200	0000464103	0000464203
uninformed	0000546107
informed	0000581100	0000581103
funny side	0000537107
friend	0000463100	0000463103
provide for 	0000840205
dispose of 	0000931106
wonderful	0000742205	0001244100	0001244103
founder	0000402209
refund	0000175104
out of order	0001181109
foreword	0000608107
defy	0000765107
shed light on sth	0000396107
shed light on 	0000396107
delight	0000265100	0000625104	0000818105	0000265104
the dying	0000794109
methodology	0001231210
indigenous	0000235109
distressing	0000780206
disguise	0000521106
misjudge	0000718109
strong-willed	0001086107
long-lived	0000761206
dwelling	0000529106
underlying	0000473104
indulgent	0001154108
ideology	0001214106
divulge	0000955109
good time	0000470105
ending	0000352107
resounding	0000256209
spending	0000214104
enduring	0000803106
design	0000278100	0000279100	0000279200	0000286104	0000813205	0000279203	0000279103	0000278103
ridge	0000523108
guide	0000020107	0000101106	0000228108	0001115209
judgment	0000184105
judge	0000369105	0000626100	0000627100	0000627103	0000626103
prolonged	0000675104
groundless	0000615106
lodge	0000841307
lodger	0001129107
smudge	0000698111
goodness	0000724106
get round 	0000808110
undergo	0000512308
get down	0000306208
model sth on sth	0000445410
household	0000408104
hushed	0000881208
hide	0000521100	0000521103
disinherit	0000916105
likelihood	0000828109
side with 	0001098109
would like sth	0001227104
thrilled	0000487110
demolish	0000269100	0000313111	0000269103
short-lived	0001011106
shield	0000836105	0000866108
the wild	0000732208
send sth in	0000841309
pride on sth	0000099105
write sth down	0001253105
dishonest	0000312100	0000312103
dishonesty	0000457105
in-depth	0000282110
hinder	0000098108
unhurried	0000332206
hideous	0001180105
hideout	0000910109
hurried	0000880109
model on sth	0000445410
model sth on 	0000445410
dole sth out	0000315107
shoulder	0000875207
hurdle	0000080108	0000628108	0000750105
method	0000339108	0001231204
send sth on	0000996109
horrendous	0001133108
unused to sth	0000740305
horde	0000231105
red-hot	0000533109
used to sth	0001205100
depth	0001186110
shred	0000456110	0001126107
shrewd	0001014100	0001014103
shed	0000931110
die	0000289100	0000289103
diminutive	0001011204
dislike	0000510105	0000511105
limited	0000666100	0000666200	0000666103	0000666203
delirious	0000541107
idolize	0000684110
uninvited	0001200108
derision	0000197109
destitution	0000831107
identity	0000544100	0000544103
spirited	0000670104
disruptive	0001238104
diversity	0000888106
uninjured	0000976113
would like 	0001227104
skilled	0000491404
unspoiled	0000800106
delusion	0000550106
involved	0000113106	0000180108
swindler	0000139106
swindle	0000260105
soiled	0000296107
dissolve	0000300107
drizzle	0000886108
yield	0000486109	0000775106	0000869106
postmodernist	0000394108
modernist	0000394105
minder	0000500107
mixed	0000316105
send to prison	0000620109
send in	0000841309
intend	0000597100	0000703207	0000597103
devotion	0000683208
pride on 	0000099105
in order	0000430110
write down	0001253105
downsize	0000239109
untried	0000740205
intrude	0000604106
dissent	0000250110
destiny	0000686109
widen	0000388104
index	0000667104
period	0000152209	0000802100	0000802103
disprove	0000313100	0000313103
provide	0000869100	0000869103
deposit	0000796108	0000980304
worried	0001248100	0001248103
dossier	0000320109
editor	0000937105
tedious	0000102105
devious	0000312104
die out	0000300106
pride	0000294105	0000818110	0000850100	0000978105	0000850103
prized	0000249106
dispute	0000250105	0000299105	0000322106
tepid	0000164109	0000570110
ride	0000489209
dire	0001000111
distress	0000314100	0000540106	0000314104
stride	0001073106	0001226105
tired	0001152100	0001152104
drive	0000119106	0000450107	0000489208	0000875109	0001115206
weird	0001080105
side	0000067113	0000335105	0001125205
diet	0000446105
wide	0001237100	0001237200	0001237203	0001237103
worked up	0000541106
do well	0000323100	0000323103
model on 	0000445410
model	0000207204	0000377204
seldom	0000891104
module	0000344105
lend	0000869108
let down	0000301105
unloved	0001200109
plunder	0000966107
dole out	0000315107
orderly	0000340105	0000733106
puzzled	0000191104
mend	0000932105	0000946106
modern	0000394104	0000719100	0000900107	0000719104
unmoved	0000974107
demo	0000842105
murderous	0001220107
modest	0001029105
murder	0000632104	0000726100	0000726103
end	0000335104	0000352100	0000353100	0001119107	0000353103	0000352103
send on	0000996109
dote upon 	0000684111
dote on 	0000684111
unsupported	0000615109
ponder	0000194108
respond	0000040105
step down	0000653307
expound	0000396110
vendor	0000247109
wonder	0000194106	0000715104
unused to 	0000740305
endow	0000472110
prudent	0001240105
suspend	0000261109
undress	0001117106
trend	0000411107	0001167100	0001167103
trendy	0000412105
send	0000203104	0000996100	0000996103
stunted	0001011207
tend	0000678106
nude	0000728105
undue	0000380104
deny	0000270100	0000913105	0000270103
pooped	0001152112
opposed	0000023105	0000767107
dope	0000329104
purported	0000041105
supposed	0001100100	0001100103
deport	0000391104
despot	0000288105
order	0000339104	0000771100	0000771200	0000797104	0000889108	0000942104	0000972207	0000999105	0000771203	0000771103
destroy	0000281100	0000281103
devour	0000333109
drove	0000231107
used to 	0001205100
douse	0001036111
doze	0001028104
dupe	0000140110
dress	0000161106	0001232105
trusted	0000924109
rude	0000755107	0000969100	0000969104
dues	0000892110
due	0000961111	0000962206
dew	0000720108
dye	0000781104
foodstuff	0000446106
round sth off	0000431109
round off	0000431109
finding	0000184104
funding	0000612105
hold out for sth	0000268111
find out sth	0000429104
hold out for 	0000268111
mindful	0000073105
dutiful	0000491705
fluid	0000702108	0001215107
out of your mind	0000687108
out of mind	0000687108
modify	0000013104
find	0000429100	0000429200	0000429300	0000429400	0000914105	0000429203	0000429403	0000429303	0000429103
find out	0000429104
find out 	0000429104
drift	0001167106
unfold	0000274106	0001058106
flood	0000439100	0000439200	0000440100	0001036108	0000440103	0000439203	0000439103
fond	0000685109
foundry	0000401109
found	0000367106
funds	0000721105
fund	0000471100	0000472100	0000471103	0000472103
food	0000446100	0000446103
grudging	0000926105
go on doing sth	0000199205
disgusting	0000311100	0000311200	0000311103	0000311204
good-looking	0000084110
go on doing 	0000199205
wrongdoing	0000225104
not in your right mind	0000687109
not in right mind	0000687109
in your right mind	0000687109
in right mind	0000687109
midnight	0000743104
holding	0001142208
downright	0000179111
go round sth	0001054111
go down sth	0000406204
dignity	0000294100	0000294103
rigid	0001042105	0001083107
guild	0001193111
surroundings	0000360105
doing	0000008111
good point	0000088111
wording	0000640106
prodigy	0000480104
disgust	0001010107
go round	0001054111
go round 	0001054111
go down 	0000406204
go down	0000105208	0000406204
grounds	0000898105
ground	0000639205	0001041110
good	0000088107	0000491100	0000491200	0000491300	0000491400	0000491500	0000491600	0000491700	0000514105	0000634104	0000724105	0000742104	0001096106	0001211205	0001233111	0000491203	0000491403	0000491603	0000491103	0000491303	0000491703	0000491503
goods	0000125104	0000855104	0001142211
drug	0000329100	0000329200	0000329103	0000329203
dish sth out	0000315109
hold on to sth	0000630205
hold onto sth	0000525104	0000630205
hold sth up	0000526100
hold up sth	0000966111
diminish	0000406106
humidity	0000720105
dip into sth	0000895107
humid	0000536100	0000536103
drop into sth	0001223108
dishonour	0000310106
wind sth up	0000353109
dish out	0000315109
hold on	0000525104
hold on to 	0000630205
hold onto 	0000525104	0000630205
hold	0000202110	0000512106	0000512404	0000525100	0000620105	0000630304	0001143106	0000525103
hold up 	0000966111
uphold	0000048106
hold up	0000526100
turn sth round	0001175104
turn sth down	0000907108	0000913107
